"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"116914"	NA	NA	62	NA	280	65.8786763680024	367
"16370"	123	141.5	NA	NA	NA	65.9630578430079	368
"432450"	NA	NA	192.5	90.5	NA	65.9947914611449	369
"236511"	236	179.5	NA	NA	187	66.4484364128267	370
"606496"	NA	NA	206	86	NA	66.5507325278993	371
"76199"	141	126	NA	NA	NA	66.6445796745692	372
"231093"	137	NA	NA	130	NA	66.727055981813	373
"170740"	NA	NA	174	103	NA	66.9365371079204	374
"13599"	NA	NA	179	101	NA	67.2290859673103	375
"192285"	252	129.5	NA	NA	258	67.8123430450755	376
"72053"	NA	307	NA	61	NA	68.4233147399335	377
"11798"	110	170.5	NA	NA	NA	68.474447788938	378
"246102"	NA	NA	203	93	NA	68.7004366798349	379
"20353"	187	195	NA	NA	242	68.88255905921	380
"17082"	NA	NA	68	NA	281	69.1158447825099	381
"54152"	NA	NA	138	141	NA	69.745967625376	382
"234678"	220	196.5	NA	NA	212	69.7566759576962	383
"381217"	NA	NA	126.5	154	NA	69.7871764724724	384
"320127"	NA	NA	112	NA	174	69.7997134664606	385
"18131"	NA	126	NA	159	NA	70.7707566725127	386
"56807"	210	291	NA	NA	165	72.0129863406944	387
"56809"	NA	123	NA	169	NA	72.0884872916612	388
"22414"	112	186.5	NA	NA	NA	72.2634070605587	389
"14281"	NA	139	NA	151	NA	72.4379044423567	390
"81018"	NA	269.5	183	NA	210	72.6588405378931	391
"71996"	NA	NA	153	139	NA	72.9160476164198	392
"27028"	NA	NA	140	NA	152	72.9383301152419	393
"333605"	74	288	NA	NA	NA	72.9931503635786	394
"70911"	NA	NA	187	NA	114	73.0034245772073	395
"67809"	NA	NA	167	129	NA	73.3876692639847	396
"268470"	86	253	NA	NA	NA	73.7529660420515	397
"70350"	232	96	NA	NA	NA	74.6190324247105	398
"66849"	245	91	NA	NA	NA	74.6575515269554	399
"18645"	279	155.5	NA	NA	269	75.6091526265323	400
"50782"	NA	NA	174	132	NA	75.7759856418905	401
"68449"	133	175.5	NA	NA	NA	76.3896262590674	402
"67382"	124	188.5	NA	NA	NA	76.442789064764	403
"448850"	NA	NA	190	126	NA	77.3627817493658	404
"54612"	NA	NA	168	143	NA	77.4983870799903	405
"26941"	NA	NA	192.5	125	NA	77.5604602874429	406
"23881"	246	99.5	NA	NA	NA	78.2256351843819	407
"12354"	271	182.5	NA	NA	263	78.3925361005536	408
"14918"	NA	NA	220.5	111.5	NA	78.3992187461074	409.5
"106766"	NA	NA	220.5	111.5	NA	78.3992187461074	409.5
"264134"	162	153	NA	NA	NA	78.7178505804116	411
"12321"	228	251	NA	NA	234	79.156555433786	412
"14664"	186	NA	NA	NA	135	79.2306758774655	413
"54711"	106	243	NA	NA	NA	80.2464952505715	414
"109815"	242	108	NA	NA	NA	80.8331615118449	415
"12995"	176	149	NA	NA	NA	80.9691299199886	416
"72821"	126	208.5	NA	NA	NA	81.0416559554406	417
"24069"	NA	282.5	NA	NA	93	81.0439695474006	418
"140917"	NA	NA	101.5	NA	260	81.2249961526623	419
"56070"	168	157.5	NA	NA	NA	81.3326502703558	420
"94092"	NA	NA	145	NA	185	81.891696770796	421
"99633"	188	143	NA	NA	NA	81.9817052762383	422
"258551"	NA	NA	183	147	NA	82.0076215970199	423
"14609"	NA	NA	116.5	NA	232	82.2009732302483	424
"170786"	NA	NA	101.5	NA	268	82.4651441519385	425
"68040"	256	108	NA	NA	NA	83.1384387633061	426
"56407"	NA	NA	123.5	NA	225	83.3479153908483	427
"26419"	NA	316	NA	NA	88	83.3786543427033	428
"22695"	NA	NA	214	133	NA	84.3534231670535	429
"320982"	119	241	NA	NA	NA	84.6743762894065	430
"11702"	111	259.5	NA	NA	NA	84.8594426095293	431
"72981"	142	204	NA	NA	NA	85.0999412455731	432
"12954"	NA	NA	121	NA	240	85.2056336165632	433
"52463"	113	259.5	NA	NA	NA	85.6205290803555	434
"225266"	174	170.5	NA	NA	NA	86.1205550376912	435
"545648"	NA	NA	101.5	NA	294	86.3727387547715	436
"268567"	NA	NA	177	NA	169	86.4768755217255	437
"272411"	NA	NA	107.5	NA	279	86.5917143842296	438
"56550"	212	141.5	NA	NA	NA	86.5996535789838	439
"50781"	NA	NA	114.5	NA	264	86.9310071263413	440
"231148"	NA	293	NA	104	NA	87.2811548961172	441
"73132"	240	129.5	NA	NA	NA	88.1476034841561	442
"18996"	200	155.5	NA	NA	NA	88.175960442742	443
"73218"	NA	NA	NA	124	251	88.2099767600015	444
"231225"	150	208.5	NA	NA	NA	88.423695919137	445
"23849"	105	298	NA	NA	NA	88.4448981004557	446
"15002"	NA	245	NA	NA	129	88.8889756944021	447
"70427"	269	117.5	NA	NA	NA	88.8924912464489	448
"105675"	NA	280	NA	NA	113	88.9381807774366	449
"171469"	NA	NA	174	182	NA	88.9775252521669	450
"110157"	147	NA	NA	NA	216	89.095454429505	451
"17364"	130	NA	NA	NA	245	89.2328414878737	452
"22033"	NA	NA	112	NA	285	89.3308457365092	453
"53323"	190	169	NA	NA	NA	89.5963168885864	454
"17191"	206	159	NA	NA	NA	90.4903309751931	455
"14376"	NA	NA	196	NA	168	90.73036977771	456
"12177"	NA	217	152	NA	NA	90.8074886779719	457
"52715"	215	NA	NA	NA	154	90.980767198348	458
"16156"	NA	NA	116.5	NA	288	91.5860251348425	459
"227334"	NA	NA	224	NA	150	91.6515138991168	460
"231207"	250	136.5	NA	NA	NA	92.3647660095558	461
"13607"	NA	NA	213	NA	161	92.5918462932887	462
"56353"	157	218.5	NA	NA	NA	92.6073701170701	463
"18805"	NA	146	NA	NA	238	93.2040771640383	464
"319817"	211	165	NA	NA	NA	93.2938904752074	465
"66168"	NA	326	NA	107	NA	93.3836174069092	466
"81630"	195	NA	NA	NA	179	93.4143993183064	467
"77128"	NA	184	NA	NA	190	93.4879671401619	468
"71093"	NA	NA	160.5	NA	218	93.5267341459115	469
"75686"	NA	NA	180.5	NA	196	94.0452018978108	470
"74081"	264	136.5	NA	NA	NA	94.9157521173382	471
"237082"	165	218.5	NA	NA	NA	94.9374794272525	472
"110809"	201	179.5	NA	NA	NA	94.9730224853353	473
"230908"	NA	NA	160.5	NA	230	96.0663832982173	474
"18028"	244	152	NA	NA	NA	96.2912249376858	475
"55987"	NA	NA	NA	166	224	96.4157663455516	476
"224796"	NA	NA	186	NA	201	96.6772982659321	477
"59093"	NA	286.5	NA	NA	131	96.8652414439772	478
"77371"	125	301.5	NA	NA	NA	97.0663432915859	479
"11844"	143	267	NA	NA	NA	97.6997952914949	480
"77889"	NA	NA	176	NA	217	97.7138680024489	481
"67203"	NA	NA	150.5	NA	254	97.7586313324813	482
"12061"	NA	293	132	NA	NA	98.3310734203588	483
